INFO 2024-07-02 18:56:08,008 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-02 18:56:08,397 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_hashlib.cpython-39-darwin.so first seen with mtime 1620062636.0
DEBUG 2024-07-02 18:56:08,397 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/machinery.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,397 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/_osx_support.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,400 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/xml/dom/minidom.py first seen with mtime 1620062244.0
DEBUG 2024-07-02 18:56:08,400 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/template/context.py first seen with mtime 1719930740.2564127
DEBUG 2024-07-02 18:56:08,400 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/models/functions/datetime.py first seen with mtime 1719930740.1631012
DEBUG 2024-07-02 18:56:08,400 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/logging/config.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,401 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/views/decorators/__init__.py first seen with mtime 1719930740.3278406
DEBUG 2024-07-02 18:56:08,401 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1719930738.2454057
DEBUG 2024-07-02 18:56:08,401 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/asgiref/local.py first seen with mtime 1719930736.3951283
DEBUG 2024-07-02 18:56:08,401 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/sslproto.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,401 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/template/loaders/base.py first seen with mtime 1719930740.2705579
